,day_from_admission
-4387.0,1
-4383.0,1
-4382.0,1
-4381.0,2
-4379.0,1
-3293.0,1
-3291.0,1
-3290.0,2
-3289.0,1
-3288.0,2
-3287.0,2
-3286.0,2
-3284.0,1
-3283.0,1
-3282.0,1
-3279.0,1
-2926.0,1
-2924.0,1
-2923.0,1
-2922.0,3
-2921.0,2
-2920.0,2
-2919.0,2
-2918.0,2
-2917.0,3
-2916.0,1
-2913.0,1
-2561.0,2
-2559.0,1
-2558.0,2
-2557.0,1
-2556.0,2
-2555.0,2
-2554.0,2
-2553.0,1
-2552.0,1
-2551.0,1
-2181.0,1
-370.0,1
-365.0,2
-362.0,1
-361.0,1
-360.0,1
-359.0,1
-357.0,1
-333.0,1
-330.0,3
-329.0,5
-328.0,2
-327.0,3
-326.0,7
-325.0,8
-324.0,6
-323.0,9
-321.0,2
-320.0,5
-319.0,13
-318.0,4
-317.0,5
-316.0,6
-315.0,2
-312.0,1
-299.0,5
-298.0,7
-297.0,11
-296.0,9
-295.0,13
-294.0,21
-293.0,3
-292.0,5
-291.0,9
-290.0,5
-289.0,6
-288.0,7
-287.0,8
-286.0,5
-285.0,2
-284.0,2
-277.0,1
-275.0,1
-273.0,1
-272.0,6
-271.0,6
-270.0,12
-269.0,17
-268.0,17
-267.0,19
-266.0,29
-265.0,16
-264.0,13
-263.0,9
-262.0,11
-261.0,19
-260.0,17
-259.0,8
-258.0,15
-257.0,12
-256.0,9
-255.0,1
-243.0,1
-242.0,2
-241.0,6
-240.0,8
-239.0,11
-238.0,16
-237.0,23
-236.0,20
-235.0,10
-234.0,14
-233.0,15
-232.0,23
-231.0,26
-230.0,17
-229.0,11
-228.0,9
-227.0,6
-226.0,2
-225.0,1
-214.0,1
-213.0,3
-212.0,15
-211.0,17
-210.0,26
-209.0,29
-208.0,38
-207.0,58
-206.0,16
-205.0,15
-204.0,23
-203.0,36
-202.0,25
-201.0,23
-200.0,18
-199.0,14
-198.0,15
-197.0,5
-195.0,1
-190.0,1
-187.0,1
-186.0,1
-185.0,2
-184.0,2
-183.0,12
-182.0,7
-181.0,21
-180.0,19
-179.0,23
-178.0,36
-177.0,35
-176.0,19
-175.0,30
-174.0,16
-173.0,36
-172.0,25
-171.0,32
-170.0,22
-169.0,26
-168.0,13
-167.0,11
-166.0,3
-155.0,1
-154.0,4
-153.0,15
-152.0,19
-151.0,30
-150.0,33
-149.0,41
-148.0,63
-147.0,12
-146.0,22
-145.0,32
-144.0,29
-143.0,28
-142.0,21
-141.0,25
-140.0,28
-139.0,16
-138.0,10
-137.0,1
-136.0,2
-135.0,1
-124.0,7
-123.0,25
-122.0,33
-121.0,36
-120.0,39
-119.0,64
-118.0,55
-117.0,14
-116.0,32
-115.0,39
-114.0,45
-113.0,40
-112.0,33
-111.0,34
-110.0,21
-109.0,6
-108.0,6
-107.0,1
-106.0,1
-104.0,1
-96.0,1
-95.0,4
-94.0,7
-93.0,25
-92.0,26
-91.0,36
-90.0,48
-89.0,55
-88.0,42
-87.0,17
-86.0,28
-85.0,31
-84.0,49
-83.0,20
-82.0,21
-81.0,28
-80.0,11
-79.0,10
-78.0,2
-77.0,1
-66.0,2
-65.0,4
-64.0,28
-63.0,26
-62.0,47
-61.0,51
-60.0,74
-59.0,68
-58.0,15
-57.0,32
-56.0,47
-55.0,41
-54.0,37
-53.0,38
-52.0,40
-51.0,21
-50.0,8
-49.0,5
-48.0,1
-47.0,1
-43.0,1
-39.0,1
-37.0,1
-35.0,10
-34.0,24
-33.0,39
-32.0,28
-31.0,43
-30.0,83
-29.0,44
-28.0,20
-27.0,50
-26.0,44
-25.0,61
-24.0,49
-23.0,42
-22.0,35
-21.0,15
-20.0,10
-19.0,3
-18.0,1
-17.0,2
-16.0,1
-15.0,2
-14.0,2
-13.0,1
-12.0,3
-11.0,1
-10.0,7
-9.0,12
-8.0,48
-7.0,178
-6.0,674
-5.0,1740
-4.0,3193
-3.0,3587
-2.0,3471
-1.0,4067
0.0,8472
1.0,6422
2.0,6303
3.0,6489
4.0,6022
5.0,4659
6.0,3264
7.0,2256
8.0,1432
9.0,839
10.0,543
11.0,393
12.0,268
13.0,206
14.0,148
15.0,96
16.0,64
17.0,72
18.0,82
19.0,57
20.0,66
21.0,66
22.0,49
23.0,26
24.0,30
25.0,48
26.0,80
27.0,91
28.0,100
29.0,123
30.0,98
31.0,67
32.0,98
33.0,157
34.0,280
35.0,337
36.0,236
37.0,157
38.0,121
39.0,81
40.0,50
41.0,48
42.0,32
43.0,24
44.0,14
45.0,11
46.0,6
47.0,19
48.0,9
49.0,11
50.0,6
51.0,7
52.0,9
53.0,7
54.0,24
55.0,29
56.0,43
57.0,45
58.0,53
59.0,71
60.0,21
61.0,28
62.0,42
63.0,48
64.0,37
65.0,36
66.0,20
67.0,24
68.0,10
69.0,6
70.0,3
71.0,2
72.0,5
73.0,3
74.0,1
75.0,2
76.0,3
77.0,5
79.0,1
80.0,4
81.0,3
82.0,10
83.0,9
84.0,28
85.0,53
86.0,47
87.0,45
88.0,59
89.0,57
90.0,17
91.0,20
92.0,64
93.0,52
94.0,27
95.0,35
96.0,30
97.0,15
98.0,6
99.0,4
100.0,1
101.0,4
102.0,3
103.0,3
104.0,5
105.0,2
106.0,4
107.0,1
108.0,4
109.0,3
111.0,5
112.0,2
113.0,10
114.0,19
115.0,28
116.0,24
117.0,36
118.0,53
119.0,32
120.0,18
121.0,38
122.0,32
123.0,47
124.0,22
125.0,15
126.0,22
127.0,9
128.0,5
129.0,3
131.0,4
132.0,5
133.0,2
134.0,1
135.0,3
136.0,1
137.0,1
138.0,2
139.0,2
140.0,4
141.0,5
142.0,8
143.0,16
144.0,19
145.0,25
146.0,35
147.0,27
148.0,38
149.0,8
150.0,16
151.0,20
152.0,26
153.0,31
154.0,18
155.0,17
156.0,12
157.0,8
158.0,2
159.0,1
160.0,2
161.0,3
162.0,1
166.0,2
167.0,3
168.0,1
169.0,4
170.0,3
171.0,6
172.0,8
